# SOFTSUSY 4.1.1
# MS/GeV     mh           DMh(all)     DMh(Q_pole)  DMh(Q_match) DMh(Mt)      DMh(alpha_s) DMh(alpha_em)
5.000000e+02 1.177789e+02 1.772189e+00 1.267296e+00 9.882226e-02 3.579875e-01 4.807653e-02 7.074801e-06
5.152053e+02 1.180782e+02 1.603717e+00 1.079906e+00 1.004739e-01 3.726109e-01 5.071851e-02 7.438051e-06
5.308730e+02 1.183646e+02 1.585052e+00 1.042795e+00 1.018555e-01 3.870126e-01 5.338156e-02 8.062036e-06
5.470171e+02 1.186411e+02 1.585287e+00 1.024889e+00 1.030438e-01 4.012780e-01 5.606831e-02 8.277939e-06
5.636522e+02 1.189100e+02 1.641763e+00 1.063425e+00 1.040781e-01 4.154697e-01 5.878087e-02 8.978499e-06
5.807932e+02 1.191733e+02 1.663944e+00 1.067797e+00 1.049897e-01 4.296309e-01 6.151746e-02 9.284012e-06
5.984554e+02 1.194326e+02 1.691239e+00 1.077343e+00 1.058144e-01 4.437946e-01 6.427625e-02 9.884092e-06
6.166548e+02 1.196894e+02 1.724102e+00 1.092483e+00 1.065714e-01 4.579841e-01 6.705298e-02 1.043390e-05
6.354076e+02 1.199450e+02 1.763039e+00 1.113683e+00 1.072859e-01 4.722165e-01 6.984207e-02 1.094610e-05
6.547307e+02 1.202006e+02 1.808609e+00 1.141479e+00 1.079781e-01 4.865033e-01 7.263680e-02 1.159920e-05
6.746414e+02 1.204575e+02 1.861443e+00 1.176481e+00 1.086688e-01 5.008524e-01 7.542861e-02 1.214046e-05
6.951576e+02 1.198070e+02 1.218288e+00 5.265072e-01 9.643376e-02 5.110990e-01 8.423501e-02 1.293700e-05
7.162978e+02 1.200187e+02 1.220379e+00 5.099510e-01 9.647323e-02 5.262571e-01 8.768399e-02 1.363482e-05
7.380808e+02 1.202258e+02 1.237729e+00 5.085385e-01 9.642798e-02 5.415419e-01 9.120668e-02 1.428091e-05
7.605262e+02 1.204287e+02 1.255316e+00 5.072331e-01 9.630395e-02 5.569606e-01 9.480364e-02 1.501712e-05
7.836543e+02 1.206276e+02 1.273149e+00 5.060324e-01 9.610626e-02 5.725197e-01 9.847483e-02 1.571633e-05
8.074856e+02 1.208228e+02 1.291234e+00 5.049330e-01 9.583968e-02 5.882246e-01 1.022206e-01 1.647789e-05
8.320417e+02 1.210145e+02 1.309577e+00 5.039312e-01 9.550845e-02 6.040796e-01 1.060408e-01 1.725790e-05
8.573446e+02 1.212030e+02 1.328182e+00 5.030230e-01 9.511639e-02 6.200890e-01 1.099355e-01 1.803871e-05
8.834169e+02 1.213884e+02 1.347050e+00 5.022043e-01 9.466651e-02 6.362558e-01 1.139044e-01 1.891047e-05
9.102821e+02 1.215710e+02 1.366183e+00 5.014709e-01 9.416184e-02 6.525832e-01 1.179473e-01 1.976141e-05
9.379643e+02 1.217507e+02 1.385582e+00 5.008186e-01 9.360528e-02 6.690737e-01 1.220638e-01 2.064988e-05
9.664883e+02 1.219279e+02 1.405247e+00 5.002433e-01 9.299905e-02 6.857293e-01 1.262535e-01 2.156835e-05
9.958798e+02 1.221026e+02 1.425222e+00 4.997410e-01 9.234547e-02 7.025974e-01 1.305158e-01 2.250525e-05
1.026165e+03 1.222749e+02 1.445331e+00 4.992636e-01 9.164641e-02 7.195470e-01 1.348510e-01 2.346123e-05
1.057371e+03 1.224448e+02 1.465789e+00 4.988936e-01 9.090437e-02 7.367090e-01 1.392570e-01 2.502019e-05
1.089527e+03 1.226126e+02 1.486505e+00 4.985854e-01 9.011995e-02 7.540416e-01 1.437330e-01 2.551109e-05
1.122660e+03 1.227783e+02 1.507484e+00 4.983358e-01 8.929577e-02 7.715468e-01 1.482789e-01 2.656410e-05
1.156800e+03 1.229419e+02 1.528721e+00 4.981415e-01 8.843295e-02 7.892252e-01 1.528936e-01 2.765818e-05
1.191979e+03 1.231035e+02 1.550215e+00 4.979997e-01 8.753289e-02 8.070775e-01 1.575761e-01 2.876698e-05
1.228228e+03 1.232632e+02 1.571964e+00 4.979077e-01 8.659689e-02 8.251042e-01 1.623252e-01 2.993636e-05
1.265579e+03 1.234211e+02 1.593961e+00 4.978629e-01 8.562511e-02 8.433050e-01 1.671388e-01 2.949519e-05
1.304066e+03 1.235772e+02 1.616186e+00 4.978628e-01 8.462173e-02 8.616656e-01 1.720035e-01 3.233120e-05
1.343723e+03 1.237315e+02 1.638720e+00 4.979054e-01 8.358477e-02 8.802360e-01 1.769607e-01 3.358362e-05
1.384587e+03 1.238842e+02 1.661469e+00 4.979887e-01 8.251623e-02 8.989648e-01 1.819641e-01 3.486594e-05
1.426693e+03 1.240352e+02 1.684461e+00 4.981108e-01 8.141709e-02 9.178696e-01 1.870277e-01 3.618156e-05
1.470079e+03 1.241846e+02 1.707696e+00 4.982699e-01 8.028821e-02 9.369507e-01 1.921498e-01 3.753638e-05
1.514785e+03 1.243325e+02 1.731171e+00 4.984646e-01 7.913041e-02 9.562079e-01 1.973290e-01 3.892114e-05
1.560851e+03 1.244788e+02 1.754882e+00 4.986935e-01 7.794453e-02 9.756412e-01 2.025629e-01 4.034654e-05
1.608317e+03 1.246238e+02 1.778742e+00 4.989563e-01 7.657312e-02 9.952355e-01 2.079351e-01 4.186071e-05
1.657227e+03 1.247672e+02 1.802921e+00 4.992495e-01 7.533124e-02 1.015021e+00 2.132768e-01 4.328724e-05
1.707624e+03 1.249092e+02 1.826668e+00 4.995733e-01 7.340032e-02 1.034982e+00 2.186679e-01 4.424411e-05
1.759554e+03 1.250497e+02 1.853917e+00 4.999200e-01 7.276492e-02 1.055091e+00 2.242632e-01 1.877914e-03
1.813063e+03 1.251890e+02 1.876833e+00 5.003088e-01 7.145363e-02 1.075429e+00 2.295930e-01 4.854936e-05
1.868199e+03 1.253269e+02 1.901983e+00 5.007186e-01 7.017817e-02 1.095915e+00 2.351210e-01 4.960281e-05
1.925012e+03 1.254635e+02 1.927288e+00 5.011556e-01 6.881359e-02 1.116576e+00 2.406913e-01 5.132562e-05
1.983553e+03 1.255986e+02 1.952894e+00 5.016181e-01 6.759619e-02 1.137424e+00 2.462020e-01 5.304876e-05
2.043874e+03 1.257327e+02 1.978548e+00 5.021072e-01 6.610631e-02 1.158433e+00 2.518463e-01 5.481804e-05
2.106029e+03 1.258655e+02 2.004578e+00 5.026215e-01 6.475890e-02 1.179616e+00 2.575250e-01 5.662109e-05
2.170075e+03 1.259971e+02 2.030733e+00 5.031604e-01 6.330750e-02 1.200971e+00 2.632356e-01 5.846935e-05
2.236068e+03 1.261275e+02 2.057096e+00 5.037227e-01 6.183533e-02 1.222500e+00 2.689774e-01 6.035711e-05
2.304068e+03 1.262568e+02 2.083583e+00 5.043092e-01 6.026707e-02 1.244200e+00 2.747443e-01 6.225123e-05
2.374136e+03 1.263849e+02 2.110347e+00 5.049187e-01 5.875740e-02 1.266071e+00 2.805355e-01 6.425187e-05
2.446335e+03 1.265119e+02 2.137300e+00 5.055509e-01 5.722259e-02 1.288113e+00 2.863478e-01 6.623944e-05
2.520729e+03 1.266377e+02 2.164446e+00 5.062053e-01 5.566824e-02 1.310325e+00 2.921788e-01 6.831471e-05
2.597386e+03 1.267625e+02 2.191778e+00 5.068815e-01 5.409464e-02 1.332707e+00 2.980249e-01 7.037763e-05
2.676374e+03 1.268862e+02 2.219295e+00 5.075791e-01 5.250225e-02 1.355257e+00 3.038838e-01 7.252071e-05
2.757764e+03 1.270088e+02 2.246706e+00 5.082977e-01 5.089143e-02 1.377976e+00 3.094660e-01 7.535423e-05
2.841629e+03 1.271304e+02 2.274865e+00 5.090369e-01 4.926296e-02 1.400864e+00 3.156252e-01 7.642946e-05
2.928045e+03 1.272510e+02 2.302916e+00 5.097963e-01 4.761642e-02 1.423918e+00 3.215053e-01 7.987396e-05
3.203381e+03 1.276066e+02 2.388073e+00 5.121924e-01 4.257651e-02 1.493992e+00 3.392883e-01 2.341053e-05
3.300798e+03 1.277233e+02 2.416658e+00 5.130286e-01 4.082916e-02 1.517762e+00 3.449614e-01 7.650918e-05
3.401177e+03 1.278389e+02 2.445628e+00 5.138833e-01 3.914828e-02 1.541667e+00 3.508325e-01 9.734455e-05
3.504608e+03 1.279535e+02 2.478494e+00 5.147560e-01 4.128187e-02 1.565706e+00 3.566525e-01 9.778532e-05
3.611186e+03 1.280673e+02 2.511732e+00 5.156461e-01 4.361999e-02 1.589909e+00 3.624595e-01 9.711577e-05
3.721004e+03 1.281801e+02 2.545150e+00 5.165533e-01 4.598327e-02 1.614274e+00 3.682390e-01 1.001524e-04
3.834161e+03 1.282920e+02 2.578735e+00 5.174772e-01 4.836665e-02 1.638797e+00 3.739912e-01 1.030959e-04
3.950760e+03 1.284030e+02 2.612483e+00 5.184174e-01 5.077351e-02 1.663480e+00 3.797081e-01 1.039534e-04
4.070905e+03 1.285131e+02 2.646397e+00 5.193735e-01 5.320293e-02 1.688323e+00 3.853911e-01 1.067879e-04
4.194704e+03 1.286224e+02 2.680467e+00 5.203451e-01 5.565537e-02 1.713323e+00 3.910334e-01 1.103619e-04
4.322267e+03 1.287308e+02 2.714687e+00 5.213316e-01 5.813002e-02 1.738481e+00 3.966304e-01 1.136994e-04
4.453710e+03 1.288383e+02 2.749050e+00 5.223328e-01 6.062637e-02 1.763795e+00 4.021791e-01 1.166903e-04
4.589149e+03 1.289450e+02 2.783548e+00 5.233482e-01 6.314375e-02 1.789263e+00 4.076740e-01 1.190734e-04
4.728708e+03 1.290508e+02 2.818183e+00 5.243773e-01 6.568380e-02 1.814888e+00 4.131113e-01 1.226302e-04
4.872511e+03 1.291558e+02 2.852944e+00 5.254198e-01 6.824493e-02 1.840665e+00 4.184883e-01 1.254111e-04
5.020686e+03 1.292600e+02 2.887825e+00 5.264751e-01 7.082775e-02 1.866596e+00 4.237980e-01 1.286345e-04
5.173368e+03 1.293634e+02 2.922823e+00 5.275429e-01 7.343166e-02 1.892678e+00 4.290384e-01 1.318552e-04
5.330693e+03 1.294660e+02 2.957930e+00 5.286227e-01 7.605676e-02 1.918912e+00 4.342032e-01 1.353336e-04
5.492803e+03 1.295678e+02 2.993138e+00 5.297141e-01 7.870291e-02 1.945294e+00 4.392877e-01 1.385719e-04
5.659842e+03 1.296688e+02 3.028441e+00 5.308166e-01 8.136956e-02 1.971828e+00 4.442853e-01 1.418625e-04
5.831961e+03 1.297691e+02 3.063835e+00 5.319298e-01 8.405696e-02 1.998504e+00 4.491988e-01 1.447870e-04
6.009314e+03 1.298686e+02 3.099326e+00 5.330532e-01 8.676665e-02 2.025339e+00 4.540171e-01 1.497466e-04
6.192061e+03 1.299673e+02 3.134756e+00 5.341865e-01 8.949456e-02 2.052266e+00 4.586563e-01 1.519580e-04
6.380365e+03 1.300653e+02 3.171108e+00 5.353291e-01 9.224365e-02 2.079717e+00 4.636638e-01 1.542628e-04
6.574395e+03 1.301626e+02 3.204610e+00 5.364806e-01 9.501559e-02 2.107671e+00 4.652770e-01 1.658204e-04
6.980337e+03 1.303549e+02 3.277918e+00 5.388087e-01 1.006097e-01 2.161679e+00 4.766601e-01 1.607032e-04
7.411344e+03 1.305445e+02 3.349042e+00 5.411669e-01 1.062108e-01 2.216825e+00 4.846192e-01 2.202338e-04
7.636728e+03 1.306384e+02 3.384690e+00 5.426022e-01 1.089014e-01 2.244622e+00 4.883125e-01 2.521948e-04
8.354841e+03 1.309150e+02 3.494031e+00 5.462000e-01 1.179408e-01 2.330009e+00 4.994525e-01 4.290757e-04
8.608917e+03 1.310069e+02 3.527307e+00 5.474162e-01 1.199736e-01 2.357637e+00 5.018165e-01 4.640032e-04
8.870719e+03 1.310964e+02 3.565662e+00 5.486361e-01 1.238044e-01 2.387158e+00 5.058382e-01 2.253729e-04
9.140482e+03 1.311861e+02 3.601483e+00 5.498602e-01 1.267653e-01 2.415914e+00 5.087442e-01 1.996155e-04
9.418449e+03 1.312751e+02 3.636878e+00 5.510890e-01 1.298084e-01 2.444871e+00 5.109499e-01 1.592172e-04
9.704870e+03 1.313634e+02 3.673139e+00 5.523201e-01 1.329027e-01 2.474026e+00 5.136259e-01 2.637404e-04
